Titles of the Movies,User ratings,Genres,Cast of the movies
Mavka: The Forest Song,74.0,"Animation, Adventure, Family, Fantasy","['Nataliia Denysenko', 'Artem Pyvovarov', 'Nazar Zadniprovskyi', 'Oleh Skripka', 'Olena Kravets', 'Serhii Prytula', 'Oleh Mykhailiuta', 'Nataliia Sumska', 'Julia Sanina']"
"Red, White & Royal Blue",83.0,"Comedy, Romance","['Taylor Zakhar Perez', 'Nicholas Galitzine', 'Uma Thurman', 'Clifton Collins Jr.', 'Rachel Hilson', 'Sarah Shahi', 'Ellie Bamber', 'Thomas Flynn', 'Stephen Fry']"
Fear the Night,67.0,"Action, Thriller","['Maggie Q', 'Kat Foster', 'Travis Hammer', 'Gia Crovatin', 'Brenda Meaney', 'Ito Aghayere', 'Kirstin Leigh', 'Highdee Kuan', 'KeiLyn Durrel Jones']"
The Seven Deadly Sins: Grudge of Edinburgh Part 2,80.0,"Action, Adventure, Fantasy, Animation","['Ayumu Murase', 'Koki Uchiyama', 'Yuki Kaji', 'Sora Amamiya', 'Tatsuhisa Suzuki', 'Aoi Yuki', 'Jun Fukuyama', 'Yuuhei Takagi', 'Yūya Uchida']"
Kingdom 2: Far and Away,69.0,"Action, Adventure, War","['Kento Yamazaki', 'Ryo Yoshizawa', 'Kanna Hashimoto', 'Nana Seino', 'Takao Osawa', 'Amane Okayama', 'Takahiro Miura', 'Takayuki Hamatsu', 'Etsushi Toyokawa']"
What the Waters Left Behind: Scars,80.0,Horror,"['Agustin Olcese', 'Clara Kovacic', 'Magui Bravi', 'Eugenia Rigón', 'Matías Desiderio', 'Juan Pablo Bishel', 'Mario Alarcón', 'David Michigan', 'Germán Baudino']"
My Fault,82.0,"Romance, Drama","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz', 'Víctor Varona', 'Fran Berenguer', 'Adriana Ubani', 'Iván Massagué']"
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,71.0,"Animation, Action, Adventure, Science Fiction","['Christopher McCulloch', 'Doc Hammer', 'James Urbaniak', 'Michael Sinterniklaas', 'Patrick Warburton', 'Nina Arianda', 'Clancy Brown', 'John Hodgman', 'Hal Lublin']"
Sound of Freedom,81.0,"Action, Drama","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Kurt Fuller', 'Gerardo Taracena', 'José Zúñiga', 'Scott Haze', 'Gary Basaraba', 'Eduardo Verástegui']"
Older Gods,49.0,"Horror, Mystery, Thriller","['Rory Wilson', 'Leuan Coombs', 'Lynsey Bennett-Thompson', 'Scott Bishop', 'Keith Lupton', 'Jonathan Keeble', 'Nicole Carino', 'Dylan Runge', 'Martin Meredith']"
